absorption_tier,gold_risk,system_level,n_pairs
minimal_systemic_absorption,high,low,1
minimal_systemic_absorption,medium,low,1
systemic_absorption_high,high,high,7
systemic_absorption_high,high,low,1
systemic_absorption_high,high,medium,4
systemic_absorption_high,low,low,2
systemic_absorption_high,medium,low,4
systemic_absorption_high,medium,medium,4
systemic_absorption_low,low,high,1
systemic_absorption_low,low,low,28
systemic_absorption_low,low,medium,1
systemic_absorption_medium,high,high,4
systemic_absorption_medium,high,low,4
systemic_absorption_medium,high,medium,4
systemic_absorption_medium,low,low,4
systemic_absorption_medium,medium,high,2
systemic_absorption_medium,medium,low,4
systemic_absorption_medium,medium,medium,4
systemic_absorption_very_low,low,low,12
