DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1,Abacavir,DDInter1085,Lomitapide,Major
DDInter1,Abacavir,DDInter1228,Mipomersen,Major
DDInter76,Amiodarone,DDInter582,Dolutegravir,Minor
DDInter223,Bosentan,DDInter582,Dolutegravir,Minor
DDInter438,Conivaptan,DDInter582,Dolutegravir,Minor
DDInter513,Dexamethasone,DDInter582,Dolutegravir,Minor
DDInter561,Diltiazem,DDInter582,Dolutegravir,Minor
DDInter580,Dofetilide,DDInter582,Dolutegravir,Major
DDInter602,Dronedarone,DDInter582,Dolutegravir,Minor
DDInter847,Guanfacine,DDInter582,Dolutegravir,Moderate
DDInter1019,Lamivudine,DDInter1085,Lomitapide,Major
DDInter1019,Lamivudine,DDInter1228,Mipomersen,Major
DDInter1291,Nifedipine,DDInter582,Dolutegravir,Minor
DDInter1570,Ranolazine,DDInter582,Dolutegravir,Minor
DDInter1928,Verapamil,DDInter582,Dolutegravir,Minor
DDInter1961,Zidovudine,DDInter133,Atorvastatin,Moderate
DDInter195,Betamethasone,DDInter1961,Zidovudine,Moderate
DDInter341,Cerivastatin,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter408,Clofibrate,Moderate
DDInter1961,Zidovudine,DDInter513,Dexamethasone,Moderate
DDInter1961,Zidovudine,DDInter718,Fenofibrate,Moderate
DDInter1961,Zidovudine,DDInter719,Fenofibric acid,Moderate
DDInter1961,Zidovudine,DDInter769,Fluvastatin,Moderate
DDInter1961,Zidovudine,DDInter812,Gemfibrozil,Moderate
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,Moderate
DDInter1961,Zidovudine,DDInter900,Ibuprofen,Moderate
DDInter921,Indomethacin,DDInter1961,Zidovudine,Moderate
DDInter1098,Lovastatin,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1228,Mipomersen,Major
DDInter1961,Zidovudine,DDInter1286,Niacin,Moderate
DDInter1961,Zidovudine,DDInter1479,Pitavastatin,Moderate
DDInter1509,Pravastatin,DDInter1961,Zidovudine,Moderate
