DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1,Abacavir,DDInter284,Cannabidiol,Moderate
DDInter1,Abacavir,DDInter349,Chloral hydrate,Minor
DDInter363,Chlorpromazine,DDInter1,Abacavir,Minor
DDInter576,Disulfiram,DDInter1,Abacavir,Minor
DDInter1166,Methadone,DDInter1,Abacavir,Moderate
DDInter1263,Naltrexone,DDInter1,Abacavir,Moderate
DDInter81,Amobarbital,DDInter582,Dolutegravir,Minor
DDInter119,Armodafinil,DDInter582,Dolutegravir,Minor
DDInter256,Butabarbital,DDInter582,Dolutegravir,Minor
DDInter257,Butalbital,DDInter582,Dolutegravir,Minor
DDInter1019,Lamivudine,DDInter284,Cannabidiol,Moderate
DDInter293,Carbamazepine,DDInter582,Dolutegravir,Major
DDInter468,Dalfampridine,DDInter582,Dolutegravir,Moderate
DDInter715,Felbamate,DDInter582,Dolutegravir,Minor
DDInter770,Fluvoxamine,DDInter582,Dolutegravir,Minor
DDInter783,Fosphenytoin,DDInter582,Dolutegravir,Major
DDInter1190,Methylphenobarbital,DDInter582,Dolutegravir,Minor
DDInter1236,Modafinil,DDInter582,Dolutegravir,Minor
DDInter1263,Naltrexone,DDInter1019,Lamivudine,Moderate
DDInter1274,Nefazodone,DDInter582,Dolutegravir,Minor
DDInter1360,Oxcarbazepine,DDInter582,Dolutegravir,Major
DDInter1423,Pentobarbital,DDInter582,Dolutegravir,Minor
DDInter1442,Phenobarbital,DDInter582,Dolutegravir,Major
DDInter1460,Phenytoin,DDInter582,Dolutegravir,Major
DDInter1521,Primidone,DDInter582,Dolutegravir,Major
DDInter1627,Rufinamide,DDInter582,Dolutegravir,Minor
DDInter1650,Secobarbital,DDInter582,Dolutegravir,Minor
DDInter1708,St. John's Wort,DDInter582,Dolutegravir,Major
DDInter582,Dolutegravir,DDInter1711,Stiripentol,Minor
DDInter1019,Lamivudine,DDInter1737,Tafamidis,Moderate
DDInter1919,Varenicline,DDInter582,Dolutegravir,Moderate
DDInter14,Acetaminophen,DDInter1961,Zidovudine,Minor
DDInter54,Alprazolam,DDInter1961,Zidovudine,Minor
DDInter1961,Zidovudine,DDInter284,Cannabidiol,Moderate
DDInter355,Chlordiazepoxide,DDInter1961,Zidovudine,Minor
DDInter401,Clobazam,DDInter1961,Zidovudine,Minor
DDInter1961,Zidovudine,DDInter411,Clonazepam,Minor
