DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter351,Chloramphenicol,DDInter582,Dolutegravir,Minor
DDInter384,Ciprofloxacin,DDInter582,Dolutegravir,Minor
DDInter458,Cyclosporine,DDInter582,Dolutegravir,Minor
DDInter513,Dexamethasone,DDInter582,Dolutegravir,Minor
DDInter670,Erythromycin,DDInter582,Dolutegravir,Minor
DDInter1209,Miconazole,DDInter582,Dolutegravir,Minor
DDInter1961,Zidovudine,DDInter25,Acyclovir,Minor
DDInter195,Betamethasone,DDInter1961,Zidovudine,Moderate
DDInter351,Chloramphenicol,DDInter1961,Zidovudine,Moderate
DDInter352,Chloramphenicol (ophthalmic),DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter513,Dexamethasone,Moderate
DDInter1961,Zidovudine,DDInter537,Diclofenac,Moderate
DDInter1961,Zidovudine,DDInter747,Fludrocortisone,Moderate
DDInter1961,Zidovudine,DDInter763,Flurbiprofen,Moderate
DDInter1961,Zidovudine,DDInter806,Ganciclovir,Major
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,Moderate
DDInter921,Indomethacin,DDInter1961,Zidovudine,Moderate
DDInter1010,Ketorolac,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1191,Methylprednisolone,Moderate
DDInter1961,Zidovudine,DDInter1478,Piroxicam,Moderate
DDInter1961,Zidovudine,DDInter1513,Prednisolone,Moderate
DDInter1961,Zidovudine,DDInter1678,Sirolimus,Moderate
DDInter1961,Zidovudine,DDInter1855,Triamcinolone,Moderate
DDInter1961,Zidovudine,DDInter33,Aflibercept,Moderate
DDInter195,Betamethasone,DDInter3,Abametapir (topical),Moderate
DDInter427,Cocaine (topical),DDInter3,Abametapir (topical),Moderate
DDInter458,Cyclosporine,DDInter3,Abametapir (topical),Moderate
DDInter513,Dexamethasone,DDInter3,Abametapir (topical),Moderate
DDInter537,Diclofenac,DDInter3,Abametapir (topical),Moderate
DDInter670,Erythromycin,DDInter3,Abametapir (topical),Moderate
DDInter747,Fludrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter885,Hydrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter1066,Lidocaine,DDInter3,Abametapir (topical),Moderate
DDInter1191,Methylprednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1678,Sirolimus,DDInter3,Abametapir (topical),Moderate
DDInter1855,Triamcinolone,DDInter3,Abametapir (topical),Moderate
DDInter56,Alteplase,DDInter6,Abciximab,Major
DDInter6,Abciximab,DDInter242,Bromfenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter537,Diclofenac,Moderate
DDInter6,Abciximab,DDInter538,Diclofenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter539,Diclofenac (topical),Moderate
DDInter6,Abciximab,DDInter763,Flurbiprofen,Moderate
DDInter6,Abciximab,DDInter764,Flurbiprofen (ophthalmic),Moderate
DDInter6,Abciximab,DDInter856,Heparin,Major
DDInter6,Abciximab,DDInter921,Indomethacin,Moderate
DDInter6,Abciximab,DDInter1010,Ketorolac,Moderate
DDInter6,Abciximab,DDInter1011,Ketorolac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter1280,Nepafenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter1478,Piroxicam,Moderate
DDInter6,Abciximab,DDInter1633,Salicylic acid (sodium),Moderate
DDInter6,Abciximab,DDInter1929,Verteporfin,Moderate
DDInter351,Chloramphenicol,DDInter7,Abemaciclib,Moderate
DDInter384,Ciprofloxacin,DDInter7,Abemaciclib,Moderate
DDInter513,Dexamethasone,DDInter7,Abemaciclib,Moderate
DDInter670,Erythromycin,DDInter7,Abemaciclib,Moderate
DDInter806,Ganciclovir,DDInter7,Abemaciclib,Moderate
DDInter157,Azithromycin,DDInter8,Abiraterone,Moderate
DDInter384,Ciprofloxacin,DDInter8,Abiraterone,Moderate
DDInter537,Diclofenac,DDInter8,Abiraterone,Moderate
DDInter670,Erythromycin,DDInter8,Abiraterone,Moderate
DDInter809,Gatifloxacin,DDInter8,Abiraterone,Major
DDInter1055,Levofloxacin,DDInter8,Abiraterone,Moderate
DDInter1084,Lomefloxacin,DDInter8,Abiraterone,Moderate
DDInter1247,Moxifloxacin,DDInter8,Abiraterone,Major
DDInter1313,Norfloxacin,DDInter8,Abiraterone,Moderate
DDInter1325,Ofloxacin,DDInter8,Abiraterone,Moderate
DDInter1809,Timolol,DDInter8,Abiraterone,Moderate
DDInter1810,Timolol (ophthalmic),DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter66,Amikacin,Major
DDInter225,Botulinum toxin type A,DDInter67,Amikacin (liposome),Major
DDInter225,Botulinum toxin type A,DDInter136,Atropine,Moderate
DDInter225,Botulinum toxin type A,DDInter815,Gentamicin,Major
DDInter225,Botulinum toxin type A,DDInter1004,Kanamycin,Major
DDInter225,Botulinum toxin type A,DDInter1180,Methscopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,Major
DDInter225,Botulinum toxin type A,DDInter1283,Netilmicin,Major
DDInter225,Botulinum toxin type A,DDInter1489,Polymyxin B,Major
DDInter225,Botulinum toxin type A,DDInter1647,Scopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1822,Tobramycin,Major
DDInter124,Ascorbic acid,DDInter1377,Paclitaxel,Minor
DDInter157,Azithromycin,DDInter1377,Paclitaxel,Moderate
DDInter351,Chloramphenicol,DDInter1377,Paclitaxel,Moderate
DDInter384,Ciprofloxacin,DDInter1377,Paclitaxel,Minor
DDInter458,Cyclosporine,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter513,Dexamethasone,Moderate
DDInter670,Erythromycin,DDInter1377,Paclitaxel,Moderate
DDInter806,Ganciclovir,DDInter1377,Paclitaxel,Moderate
DDInter809,Gatifloxacin,DDInter1377,Paclitaxel,Minor
DDInter1055,Levofloxacin,DDInter1377,Paclitaxel,Minor
DDInter1084,Lomefloxacin,DDInter1377,Paclitaxel,Minor
DDInter1209,Miconazole,DDInter1377,Paclitaxel,Moderate
DDInter1247,Moxifloxacin,DDInter1377,Paclitaxel,Minor
DDInter1313,Norfloxacin,DDInter1377,Paclitaxel,Minor
DDInter1325,Ofloxacin,DDInter1377,Paclitaxel,Minor
DDInter1678,Sirolimus,DDInter1377,Paclitaxel,Moderate
DDInter195,Betamethasone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter513,Dexamethasone,Moderate
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,Moderate
DDInter1191,Methylprednisolone,DDInter991,Isotretinoin,Moderate
DDInter1374,Oxytetracycline,DDInter991,Isotretinoin,Major
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1634,Salicylic acid (topical),DDInter991,Isotretinoin,Moderate
DDInter1783,Tetracycline,DDInter991,Isotretinoin,Major
DDInter1855,Triamcinolone,DDInter991,Isotretinoin,Moderate
DDInter1929,Verteporfin,DDInter991,Isotretinoin,Moderate
DDInter1941,Vitamin A,DDInter991,Isotretinoin,Major
DDInter722,Fentanyl,DDInter110,Apraclonidine,Moderate
DDInter136,Atropine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter154,Azelastine (nasal),Moderate
DDInter197,Betaxolol,DDInter722,Fentanyl,Moderate
DDInter235,Brimonidine (ophthalmic),DDInter722,Fentanyl,Moderate
DDInter236,Brimonidine (topical),DDInter722,Fentanyl,Moderate
DDInter351,Chloramphenicol,DDInter722,Fentanyl,Moderate
DDInter412,Clonidine,DDInter722,Fentanyl,Minor
DDInter458,Cyclosporine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter513,Dexamethasone,Major
DDInter670,Erythromycin,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter846,Guanethidine,Moderate
DDInter722,Fentanyl,DDInter1180,Methscopolamine,Moderate
DDInter722,Fentanyl,DDInter1209,Miconazole,Moderate
DDInter1333,Olopatadine (nasal),DDInter722,Fentanyl,Moderate
DDInter1647,Scopolamine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1678,Sirolimus,Moderate
DDInter1809,Timolol,DDInter722,Fentanyl,Moderate
DDInter56,Alteplase,DDInter9,Acalabrutinib,Major
DDInter241,Bromfenac,DDInter9,Acalabrutinib,Major
DDInter242,Bromfenac (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter351,Chloramphenicol,DDInter9,Acalabrutinib,Moderate
DDInter384,Ciprofloxacin,DDInter9,Acalabrutinib,Major
DDInter458,Cyclosporine,DDInter9,Acalabrutinib,Moderate
DDInter513,Dexamethasone,DDInter9,Acalabrutinib,Moderate
DDInter537,Diclofenac,DDInter9,Acalabrutinib,Major
DDInter538,Diclofenac (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter539,Diclofenac (topical),DDInter9,Acalabrutinib,Moderate
DDInter670,Erythromycin,DDInter9,Acalabrutinib,Major
DDInter763,Flurbiprofen,DDInter9,Acalabrutinib,Major
DDInter764,Flurbiprofen (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter806,Ganciclovir,DDInter9,Acalabrutinib,Moderate
DDInter856,Heparin,DDInter9,Acalabrutinib,Major
DDInter921,Indomethacin,DDInter9,Acalabrutinib,Major
DDInter1010,Ketorolac,DDInter9,Acalabrutinib,Major
DDInter1011,Ketorolac (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter1209,Miconazole,DDInter9,Acalabrutinib,Moderate
DDInter1280,Nepafenac (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter1478,Piroxicam,DDInter9,Acalabrutinib,Major
DDInter11,Acarbose,DDInter15,Acetazolamide,Moderate
DDInter37,Alclometasone (topical),DDInter11,Acarbose,Minor
DDInter11,Acarbose,DDInter195,Betamethasone,Moderate
DDInter11,Acarbose,DDInter196,Betamethasone (topical),Minor
DDInter11,Acarbose,DDInter384,Ciprofloxacin,Moderate
DDInter11,Acarbose,DDInter509,Desonide (topical),Minor
DDInter11,Acarbose,DDInter513,Dexamethasone,Moderate
DDInter11,Acarbose,DDInter515,Dexamethasone (ophthalmic),Minor
DDInter11,Acarbose,DDInter516,Dexamethasone (topical),Minor
DDInter11,Acarbose,DDInter540,Diclofenamide,Moderate
DDInter11,Acarbose,DDInter650,Ephedrine,Moderate
DDInter11,Acarbose,DDInter652,Epinephrine,Moderate
DDInter11,Acarbose,DDInter747,Fludrocortisone,Moderate
DDInter11,Acarbose,DDInter809,Gatifloxacin,Major
DDInter11,Acarbose,DDInter885,Hydrocortisone,Moderate
DDInter11,Acarbose,DDInter887,Hydrocortisone (topical),Minor
DDInter11,Acarbose,DDInter1055,Levofloxacin,Moderate
DDInter11,Acarbose,DDInter1084,Lomefloxacin,Moderate
DDInter11,Acarbose,DDInter1167,Methazolamide,Moderate
DDInter11,Acarbose,DDInter1191,Methylprednisolone,Moderate
DDInter11,Acarbose,DDInter1192,Methylprednisolone (topical),Minor
DDInter1247,Moxifloxacin,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1277,Neomycin,Moderate
DDInter11,Acarbose,DDInter1313,Norfloxacin,Moderate
DDInter11,Acarbose,DDInter1325,Ofloxacin,Moderate
DDInter11,Acarbose,DDInter1453,Phenylephrine,Moderate
DDInter11,Acarbose,DDInter1513,Prednisolone,Moderate
DDInter11,Acarbose,DDInter1678,Sirolimus,Moderate
DDInter11,Acarbose,DDInter1855,Triamcinolone,Moderate
DDInter11,Acarbose,DDInter1857,Triamcinolone (ophthalmic),Moderate
DDInter11,Acarbose,DDInter1858,Triamcinolone (topical),Minor
DDInter1066,Lidocaine,DDInter12,Acebutolol,Moderate
DDInter27,Adalimumab,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter35,Albendazole,Minor
DDInter40,Alefacept,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter43,Alfentanil,Minor
DDInter1066,Lidocaine,DDInter54,Alprazolam,Moderate
DDInter1066,Lidocaine,DDInter64,Amifampridine,Moderate
DDInter1066,Lidocaine,DDInter66,Amikacin,Minor
DDInter1066,Lidocaine,DDInter67,Amikacin (liposome),Minor
DDInter1066,Lidocaine,DDInter71,Aminoglutethimide,Minor
DDInter1066,Lidocaine,DDInter76,Amiodarone,Moderate
DDInter1066,Lidocaine,DDInter81,Amobarbital,Minor
DDInter1066,Lidocaine,DDInter90,Amprenavir,Major
DDInter93,Anagrelide,DDInter1066,Lidocaine,Moderate
DDInter94,Anakinra,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter107,Apalutamide,Minor
DDInter1066,Lidocaine,DDInter112,Aprepitant,Moderate
DDInter1066,Lidocaine,DDInter114,Arbutamine,Major
DDInter1066,Lidocaine,DDInter119,Armodafinil,Minor
DDInter1066,Lidocaine,DDInter129,Atazanavir,Moderate
DDInter1066,Lidocaine,DDInter130,Atenolol,Moderate
DDInter1066,Lidocaine,DDInter135,Atracurium,Moderate
DDInter1066,Lidocaine,DDInter1364,Oxybuprocaine (ophthalmic),Moderate
DDInter1066,Lidocaine,DDInter184,Benzocaine (topical),Moderate
DDInter197,Betaxolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter202,Bexarotene,Minor
DDInter1066,Lidocaine,DDInter216,Bisoprolol,Moderate
DDInter1066,Lidocaine,DDInter221,Boceprevir,Moderate
DDInter1066,Lidocaine,DDInter223,Bosentan,Minor
DDInter1066,Lidocaine,DDInter229,Bretylium,Moderate
DDInter1066,Lidocaine,DDInter250,Bupivacaine (liposome),Major
DDInter1066,Lidocaine,DDInter252,Bupropion,Major
DDInter256,Butabarbital,DDInter1066,Lidocaine,Minor
DDInter257,Butalbital,DDInter1066,Lidocaine,Minor
DDInter1066,Lidocaine,DDInter281,Canakinumab,Moderate
DDInter1066,Lidocaine,DDInter287,Capmatinib,Moderate
DDInter1066,Lidocaine,DDInter293,Carbamazepine,Minor
DDInter1066,Lidocaine,DDInter303,Carteolol,Moderate
DDInter1066,Lidocaine,DDInter305,Carvedilol,Moderate
DDInter1066,Lidocaine,DDInter338,Cenobamate,Minor
DDInter1066,Lidocaine,DDInter340,Ceritinib,Moderate
DDInter1066,Lidocaine,DDInter342,Certolizumab pegol,Moderate
DDInter1066,Lidocaine,DDInter355,Chlordiazepoxide,Moderate
DDInter1066,Lidocaine,DDInter380,Cimetidine,Moderate
DDInter1066,Lidocaine,DDInter386,Cisatracurium,Moderate
DDInter1066,Lidocaine,DDInter401,Clobazam,Moderate
DDInter1066,Lidocaine,DDInter411,Clonazepam,Moderate
DDInter1066,Lidocaine,DDInter412,Clonidine,Minor
DDInter1066,Lidocaine,DDInter414,Clorazepic acid,Moderate
DDInter1066,Lidocaine,DDInter424,Cobicistat,Moderate
DDInter1066,Lidocaine,DDInter426,Cocaine (nasal),Moderate
DDInter1066,Lidocaine,DDInter427,Cocaine (topical),Moderate
DDInter1066,Lidocaine,DDInter438,Conivaptan,Major
DDInter1066,Lidocaine,DDInter462,Dabrafenib,Minor
DDInter1066,Lidocaine,DDInter482,Darunavir,Moderate
DDInter1066,Lidocaine,DDInter484,Dasatinib,Moderate
DDInter1066,Lidocaine,DDInter488,Deferasirox,Minor
DDInter1066,Lidocaine,DDInter496,Delavirdine,Moderate
DDInter1066,Lidocaine,DDInter513,Dexamethasone,Minor
DDInter1066,Lidocaine,DDInter534,Diazepam,Moderate
DDInter1066,Lidocaine,DDInter382,Cinchocaine (topical),Moderate
DDInter1066,Lidocaine,DDInter561,Diltiazem,Moderate
DDInter575,Disopyramide,DDInter1066,Lidocaine,Moderate
DDInter580,Dofetilide,DDInter1066,Lidocaine,Major
