entity_b_id,generic_name,canonical_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,therapeutic_index_tier,narrow_therapeutic_index,route,dosage_form,rxcui,pubchem_cid,label_source,curation_status
sys_med_0001,Atenolol,Atenolol,atenolol|tenormin,beta_blocker_systemic,antihypertensive|beta1_selective_blocker|beta_blocker_systemic,,,medium,False,systemic,unspecified_systemic,1202,,DrugBank DB00335,source_partial
sys_med_0002,Metoprolol,Metoprolol,metoprolol tartrate|metoprolol succinate,beta_blocker_systemic,antihypertensive|beta1_selective_blocker|beta_blocker_systemic|cyp2d6_substrate,CYP2D6,,medium,False,systemic,unspecified_systemic,6918,,DrugBank DB00264,source_partial
sys_med_0003,Propranolol,Propranolol,propranolol hydrochloride,beta_blocker_systemic,antihypertensive|beta_blocker_systemic|cyp1a2_substrate|cyp2d6_substrate|non_selective_beta_blocker,CYP1A2|CYP2D6,,medium,False,systemic,unspecified_systemic,8787,,DrugBank DB00571,source_partial
sys_med_0004,Bisoprolol,Bisoprolol,bisoprolol fumarate,beta_blocker_systemic,antihypertensive|beta1_selective_blocker|beta_blocker_systemic|cyp3a4_substrate,CYP3A4,,medium,False,systemic,unspecified_systemic,19484,,DrugBank DB00612,source_partial
sys_med_0005,Carvedilol,Carvedilol,carvedilol,beta_blocker_systemic,antihypertensive|beta_blocker_systemic|cyp2c9_substrate|cyp2d6_substrate|non_selective_beta_blocker_alpha1_blocker,CYP2D6|CYP2C9,,medium,False,systemic,unspecified_systemic,20352,,DrugBank DB01136,source_partial
sys_med_0006,Nebivolol,Nebivolol,nebivolol hydrochloride,beta_blocker_systemic,antihypertensive|beta1_selective_blocker|beta_blocker_systemic|cyp2d6_substrate,CYP2D6,,medium,False,systemic,unspecified_systemic,31555,,DrugBank DB04861,source_partial
sys_med_0007,Sotalol,Sotalol,sotalol hydrochloride,beta_blocker_systemic,antihypertensive|beta_blocker_systemic|non_selective_beta_blocker_class_iii_antiarrhythmic|qt_prolonging,,,medium,False,systemic,unspecified_systemic,9947,,DrugBank DB00489,source_partial
sys_med_0008,Labetalol,Labetalol,labetalol hydrochloride,beta_blocker_systemic,antihypertensive|beta_blocker_systemic|non_selective_beta_blocker_alpha1_blocker,,,medium,False,systemic,unspecified_systemic,6185,,DrugBank DB00598,source_partial
sys_med_0009,Amlodipine,Amlodipine,amlodipine besylate,ccb_dihydropyridine,cyp3a4_substrate|l_type_calcium_channel_blocker,CYP3A4,,low,False,systemic,unspecified_systemic,17767,,DrugBank DB00381,source_partial
sys_med_0010,Nifedipine,Nifedipine,nifedipine,ccb_dihydropyridine,cyp3a4_substrate|l_type_calcium_channel_blocker,CYP3A4,,low,False,systemic,unspecified_systemic,7417,,DrugBank DB01115,source_partial
