ophthalmic_id,primary_name,category,absorption_tier,ophthalmic_administration,dosage_form,evidence_sources,curation_status
topical_ophthalmic_0001,Timolol,glaucoma_beta_blocker,systemic_absorption_high,topical,ophthalmic,DrugBank DB00373|PubMed,source_partial
topical_ophthalmic_0002,Betaxolol,glaucoma_beta_blocker,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00195|PubMed,source_partial
topical_ophthalmic_0003,Levobunolol,glaucoma_beta_blocker,systemic_absorption_high,topical,ophthalmic,DrugBank DB01210|PubMed,source_partial
topical_ophthalmic_0004,Carteolol,glaucoma_beta_blocker,systemic_absorption_high,topical,ophthalmic,DrugBank DB00521|PubMed,source_partial
topical_ophthalmic_0005,Metipranolol,glaucoma_beta_blocker,systemic_absorption_high,topical,ophthalmic,DrugBank DB01214|PubMed,source_partial
topical_ophthalmic_0006,Latanoprost,glaucoma_prostaglandin_analog,systemic_absorption_low,topical,ophthalmic,DrugBank DB00654|PubMed,source_partial
topical_ophthalmic_0007,Travoprost,glaucoma_prostaglandin_analog,systemic_absorption_low,topical,ophthalmic,DrugBank DB00387|PubMed,source_partial
topical_ophthalmic_0008,Bimatoprost,glaucoma_prostaglandin_analog,systemic_absorption_low,topical,ophthalmic,DrugBank DB00905|PubMed,source_partial
topical_ophthalmic_0009,Tafluprost,glaucoma_prostaglandin_analog,systemic_absorption_low,topical,ophthalmic,DrugBank DB08866|PubMed,source_partial
topical_ophthalmic_0010,Latanoprostene bunod,glaucoma_prostaglandin_analog,systemic_absorption_low,topical,ophthalmic,DrugBank DB14882|PubMed,source_partial
topical_ophthalmic_0011,Unoprostone,glaucoma_prostaglandin_analog,systemic_absorption_low,topical,ophthalmic,DrugBank DB06402|PubMed,source_partial
topical_ophthalmic_0012,Brimonidine,glaucoma_alpha2_agonist,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00484|PubMed,source_partial
topical_ophthalmic_0013,Apraclonidine,glaucoma_alpha2_agonist,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00935|PubMed,source_partial
topical_ophthalmic_0014,Dorzolamide,glaucoma_cai_topical,systemic_absorption_low,topical,ophthalmic,DrugBank DB00869|PubMed,source_partial
topical_ophthalmic_0015,Brinzolamide,glaucoma_cai_topical,systemic_absorption_low,topical,ophthalmic,DrugBank DB01194|PubMed,source_partial
topical_ophthalmic_0016,Netarsudil,glaucoma_rock_inhibitor,systemic_absorption_low,topical,ophthalmic,DrugBank DB13931|PubMed,source_partial
topical_ophthalmic_0017,Ripasudil,glaucoma_rock_inhibitor,systemic_absorption_low,topical,ophthalmic,DrugBank DB16487|PubMed,source_partial
topical_ophthalmic_0018,Pilocarpine,glaucoma_miotic,systemic_absorption_medium,topical,ophthalmic,DrugBank DB01085|PubMed,source_partial
topical_ophthalmic_0019,Carbachol,glaucoma_miotic,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00411|PubMed,source_partial
topical_ophthalmic_0020,Ecothiopate,glaucoma_miotic,systemic_absorption_high,topical,ophthalmic,DrugBank DB01057|PubMed,source_partial
topical_ophthalmic_0021,Timolol/Latanoprost,glaucoma_fixed_combination,systemic_absorption_high,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0022,Timolol/Travoprost,glaucoma_fixed_combination,systemic_absorption_high,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0023,Timolol/Bimatoprost,glaucoma_fixed_combination,systemic_absorption_high,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0024,Timolol/Brimonidine,glaucoma_fixed_combination,systemic_absorption_high,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0025,Timolol/Dorzolamide,glaucoma_fixed_combination,systemic_absorption_high,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0026,Brimonidine/Brinzolamide,glaucoma_fixed_combination,systemic_absorption_medium,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0027,Brimonidine/Dorzolamide,glaucoma_fixed_combination,systemic_absorption_medium,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0028,Netarsudil/Latanoprost,glaucoma_fixed_combination,systemic_absorption_low,topical,ophthalmic,PubMed,source_partial
topical_ophthalmic_0029,Ofloxacin,antibiotic_fluoroquinolone,systemic_absorption_low,topical,ophthalmic,DrugBank DB01165|PubMed,source_partial
topical_ophthalmic_0030,Levofloxacin,antibiotic_fluoroquinolone,systemic_absorption_low,topical,ophthalmic,DrugBank DB01137|PubMed,source_partial
topical_ophthalmic_0031,Moxifloxacin,antibiotic_fluoroquinolone,systemic_absorption_low,topical,ophthalmic,DrugBank DB00218|PubMed,source_partial
topical_ophthalmic_0032,Gatifloxacin,antibiotic_fluoroquinolone,systemic_absorption_low,topical,ophthalmic,DrugBank DB01044|PubMed,source_partial
topical_ophthalmic_0033,Ciprofloxacin,antibiotic_fluoroquinolone,systemic_absorption_low,topical,ophthalmic,DrugBank DB00537|PubMed,source_partial
topical_ophthalmic_0034,Besifloxacin,antibiotic_fluoroquinolone,systemic_absorption_low,topical,ophthalmic,DrugBank DB06771|PubMed,source_partial
topical_ophthalmic_0035,Tobramycin,antibiotic_aminoglycoside,systemic_absorption_low,topical,ophthalmic,DrugBank DB00684|PubMed,source_partial
topical_ophthalmic_0036,Gentamicin,antibiotic_aminoglycoside,systemic_absorption_low,topical,ophthalmic,DrugBank DB00798|PubMed,source_partial
topical_ophthalmic_0037,Neomycin,antibiotic_aminoglycoside,systemic_absorption_low,topical,ophthalmic,DrugBank DB00994|PubMed,source_partial
topical_ophthalmic_0038,Erythromycin,antibiotic_macrolide,systemic_absorption_low,topical,ophthalmic,DrugBank DB00199|PubMed,source_partial
topical_ophthalmic_0039,Azithromycin,antibiotic_macrolide,systemic_absorption_low,topical,ophthalmic,DrugBank DB00207|PubMed,source_partial
topical_ophthalmic_0040,Chloramphenicol,antibiotic_other,systemic_absorption_low,topical,ophthalmic,DrugBank DB00446|PubMed,source_partial
topical_ophthalmic_0041,Fusidic acid,antibiotic_other,systemic_absorption_low,topical,ophthalmic,DrugBank DB02703|PubMed,source_partial
topical_ophthalmic_0042,Bacitracin,antibiotic_polypeptide,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00626|PubMed,source_partial
topical_ophthalmic_0043,Polymyxin B,antibiotic_polypeptide,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00781|PubMed,source_partial
topical_ophthalmic_0044,Sulfacetamide,antibiotic_sulfonamide,systemic_absorption_low,topical,ophthalmic,DrugBank DB00634|PubMed,source_partial
topical_ophthalmic_0045,Acyclovir,antiviral,systemic_absorption_low,topical,ophthalmic,DrugBank DB00787|PubMed,source_partial
topical_ophthalmic_0046,Ganciclovir,antiviral,systemic_absorption_low,topical,ophthalmic,DrugBank DB01004|PubMed,source_partial
topical_ophthalmic_0047,Trifluridine,antiviral,systemic_absorption_low,topical,ophthalmic,DrugBank DB00432|PubMed,source_partial
topical_ophthalmic_0048,Natamycin,antifungal,systemic_absorption_very_low,topical,ophthalmic,DrugBank DB00826|PubMed,source_partial
topical_ophthalmic_0049,Voriconazole,antifungal,systemic_absorption_low,topical,ophthalmic,DrugBank DB00582|PubMed,source_partial
topical_ophthalmic_0050,Fluconazole,antifungal,systemic_absorption_low,topical,ophthalmic,DrugBank DB00196|PubMed,source_partial
topical_ophthalmic_0051,Prednisolone,corticosteroid,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00860|PubMed,source_partial
topical_ophthalmic_0052,Dexamethasone,corticosteroid,systemic_absorption_high,topical,ophthalmic,DrugBank DB01234|PubMed,source_partial
topical_ophthalmic_0053,Fluorometholone,corticosteroid,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00324|PubMed,source_partial
topical_ophthalmic_0054,Loteprednol,corticosteroid,systemic_absorption_low,topical,ophthalmic,DrugBank DB01173|PubMed,source_partial
topical_ophthalmic_0055,Rimexolone,corticosteroid,systemic_absorption_medium,topical,ophthalmic,DrugBank DB00896|PubMed,source_partial
topical_ophthalmic_0056,Ketorolac,nsaid_ophthalmic,systemic_absorption_low,topical,ophthalmic,DrugBank DB00465|PubMed,source_partial
topical_ophthalmic_0057,Flurbiprofen,nsaid_ophthalmic,systemic_absorption_low,topical,ophthalmic,DrugBank DB00712|PubMed,source_partial;tier_corrected
topical_ophthalmic_0058,Diclofenac,nsaid_ophthalmic,systemic_absorption_low,topical,ophthalmic,DrugBank DB00586|PubMed,source_partial
topical_ophthalmic_0059,Bromfenac,nsaid_ophthalmic,systemic_absorption_low,topical,ophthalmic,DrugBank DB00963|PubMed,source_partial
