topical_ophthalmic_medications_id,primary_name,canonical_name,aliases,category,active_mechanisms,flags,route,dosage_form,ophthalmic_administration,rxcui,pubchem_cid,components,evidence_sources,curation_status
topical_ophthalmic_0001,Timolol,Timolol,timolol maleate,glaucoma_beta_blocker,beta_adrenergic_antagonist,beta_blocker|non_selective|cardiovascular_risk|systemic_absorption_high,ophthalmic,ophthalmic,topical,10600,,,DrugBank DB00373|PubMed,source_partial
topical_ophthalmic_0002,Betaxolol,Betaxolol,betaxolol hydrochloride,glaucoma_beta_blocker,beta1_selective_adrenergic_antagonist,beta1_selective|beta_blocker|systemic_absorption_medium,ophthalmic,ophthalmic,topical,1520,,,DrugBank DB00195|PubMed,source_partial
topical_ophthalmic_0003,Levobunolol,Levobunolol,levobunolol hydrochloride,glaucoma_beta_blocker,non_selective_beta_adrenergic_antagonist,beta_blocker|non_selective|systemic_absorption_high,ophthalmic,ophthalmic,topical,1813,,,DrugBank DB01210|PubMed,source_partial
topical_ophthalmic_0004,Carteolol,Carteolol,carteolol hydrochloride,glaucoma_beta_blocker,beta_adrenergic_antagonist,beta_blocker|non_selective|isa_activity|systemic_absorption_high,ophthalmic,ophthalmic,topical,2116,,,DrugBank DB00521|PubMed,source_partial
topical_ophthalmic_0005,Metipranolol,Metipranolol,metipranolol hydrochloride,glaucoma_beta_blocker,non_selective_beta_adrenergic_antagonist,beta_blocker|non_selective|systemic_absorption_high,ophthalmic,ophthalmic,topical,10824,,,DrugBank DB01214|PubMed,source_partial
topical_ophthalmic_0006,Latanoprost,Latanoprost,latanoprost,glaucoma_prostaglandin_analog,FP_receptor_agonist,prostaglandin_analog|systemic_absorption_low,ophthalmic,ophthalmic,topical,43611,,,DrugBank DB00654|PubMed,source_partial
topical_ophthalmic_0007,Travoprost,Travoprost,travoprost,glaucoma_prostaglandin_analog,FP_receptor_agonist,prostaglandin_analog|systemic_absorption_low,ophthalmic,ophthalmic,topical,283809,,,DrugBank DB00387|PubMed,source_partial
topical_ophthalmic_0008,Bimatoprost,Bimatoprost,bimatoprost,glaucoma_prostaglandin_analog,prostamide_FP_receptor_agonist,prostaglandin_analog|systemic_absorption_low,ophthalmic,ophthalmic,topical,283810,,,DrugBank DB00905|PubMed,source_partial
topical_ophthalmic_0009,Tafluprost,Tafluprost,tafluprost,glaucoma_prostaglandin_analog,FP_receptor_agonist,prostaglandin_analog|systemic_absorption_low,ophthalmic,ophthalmic,topical,1244607,,,DrugBank DB08866|PubMed,source_partial
topical_ophthalmic_0010,Latanoprostene bunod,Latanoprostene bunod,latanoprostene bunod,glaucoma_prostaglandin_analog,FP_receptor_agonist_nitric_oxide_donating,no_donor|prostaglandin_analog|systemic_absorption_low,ophthalmic,ophthalmic,topical,1988390,,,DrugBank DB14882|PubMed,source_partial
topical_ophthalmic_0011,Unoprostone,Unoprostone,unoprostone isopropyl,glaucoma_prostaglandin_analog,FP_receptor_agonist,prostaglandin_analog|systemic_absorption_low,ophthalmic,ophthalmic,topical,1546408,,,DrugBank DB06402|PubMed,source_partial
topical_ophthalmic_0012,Brimonidine,Brimonidine,brimonidine tartrate,glaucoma_alpha2_agonist,alpha2_adrenergic_agonist,alpha2_agonist|cns_depressant|systemic_absorption_medium,ophthalmic,ophthalmic,topical,134615,,,DrugBank DB00484|PubMed,source_partial
topical_ophthalmic_0013,Apraclonidine,Apraclonidine,apraclonidine hydrochloride,glaucoma_alpha2_agonist,alpha2_adrenergic_agonist,alpha2_agonist|cns_depressant|systemic_absorption_medium,ophthalmic,ophthalmic,topical,14845,,,DrugBank DB00935|PubMed,source_partial
topical_ophthalmic_0014,Dorzolamide,Dorzolamide,dorzolamide hydrochloride,glaucoma_cai_topical,carbonic_anhydrase_inhibitor,cai_topical|metabolic_acidosis_risk|systemic_absorption_low,ophthalmic,ophthalmic,topical,60207,,,DrugBank DB00869|PubMed,source_partial
topical_ophthalmic_0015,Brinzolamide,Brinzolamide,brinzolamide,glaucoma_cai_topical,carbonic_anhydrase_inhibitor,cai_topical|metabolic_acidosis_risk|systemic_absorption_low,ophthalmic,ophthalmic,topical,194881,,,DrugBank DB01194|PubMed,source_partial
topical_ophthalmic_0016,Netarsudil,Netarsudil,netarsudil dimesylate,glaucoma_rock_inhibitor,rho_associated_protein_kinase_inhibitor,rock_inhibitor|systemic_absorption_low,ophthalmic,ophthalmic,topical,1992864,,,DrugBank DB13931|PubMed,source_partial
topical_ophthalmic_0017,Ripasudil,Ripasudil,ripasudil hydrochloride hydrate,glaucoma_rock_inhibitor,rho_associated_protein_kinase_inhibitor,rock_inhibitor|systemic_absorption_low,ophthalmic,ophthalmic,topical,,,,DrugBank DB16487|PubMed,source_partial
topical_ophthalmic_0018,Pilocarpine,Pilocarpine,pilocarpine hydrochloride,glaucoma_miotic,muscarinic_receptor_agonist,cholinergic|miotic|systemic_absorption_medium,ophthalmic,ophthalmic,topical,8328,,,DrugBank DB01085|PubMed,source_partial
topical_ophthalmic_0019,Carbachol,Carbachol,carbachol,glaucoma_miotic,cholinergic_agonist,cholinergic|miotic|systemic_absorption_medium,ophthalmic,ophthalmic,topical,1999,,,DrugBank DB00411|PubMed,source_partial
topical_ophthalmic_0020,Ecothiopate,Ecothiopate,ecothiopate iodide,glaucoma_miotic,irreversible_acetylcholinesterase_inhibitor,cholinergic_crisis_risk|miotic|systemic_absorption_high,ophthalmic,ophthalmic,topical,89778,,,DrugBank DB01057|PubMed,source_partial
topical_ophthalmic_0021,Timolol/Latanoprost,Timolol/Latanoprost,Timolol+Latanoprost fixed combination,glaucoma_fixed_combination,beta_blocker|FP_agonist,beta_blocker|prostaglandin_analog|systemic_absorption_high|non_selective,ophthalmic,ophthalmic,topical,388053,,,PubMed,source_partial
topical_ophthalmic_0022,Timolol/Travoprost,Timolol/Travoprost,Timolol+Travoprost fixed combination,glaucoma_fixed_combination,beta_blocker|FP_agonist,beta_blocker|prostaglandin_analog|systemic_absorption_high|non_selective,ophthalmic,ophthalmic,topical,,,,PubMed,source_partial
topical_ophthalmic_0023,Timolol/Bimatoprost,Timolol/Bimatoprost,Timolol+Bimatoprost fixed combination,glaucoma_fixed_combination,beta_blocker|prostamide_agonist,beta_blocker|prostaglandin_analog|systemic_absorption_high|non_selective,ophthalmic,ophthalmic,topical,,,,PubMed,source_partial
topical_ophthalmic_0024,Timolol/Brimonidine,Timolol/Brimonidine,Timolol+Brimonidine fixed combination,glaucoma_fixed_combination,beta_blocker|alpha2_agonist,alpha2_agonist|beta_blocker|systemic_absorption_high|non_selective,ophthalmic,ophthalmic,topical,597142,,,PubMed,source_partial
topical_ophthalmic_0025,Timolol/Dorzolamide,Timolol/Dorzolamide,Timolol+Dorzolamide fixed combination,glaucoma_fixed_combination,beta_blocker|CAI,beta_blocker|cai|systemic_absorption_high|non_selective,ophthalmic,ophthalmic,topical,662263,,,PubMed,source_partial
topical_ophthalmic_0026,Brimonidine/Brinzolamide,Brimonidine/Brinzolamide,Brimonidine+Brinzolamide fixed combination,glaucoma_fixed_combination,alpha2_agonist|CAI,alpha2_agonist|cai|systemic_absorption_medium,ophthalmic,ophthalmic,topical,1421450,,,PubMed,source_partial
topical_ophthalmic_0027,Brimonidine/Dorzolamide,Brimonidine/Dorzolamide,Brimonidine+Dorzolamide fixed combination,glaucoma_fixed_combination,alpha2_agonist|CAI,alpha2_agonist|cai|systemic_absorption_medium,ophthalmic,ophthalmic,topical,,,,PubMed,source_partial
topical_ophthalmic_0028,Netarsudil/Latanoprost,Netarsudil/Latanoprost,Netarsudil+Latanoprost fixed combination,glaucoma_fixed_combination,ROCK_inhibitor|FP_agonist,prostaglandin_analog|rock_inhibitor|systemic_absorption_low,ophthalmic,ophthalmic,topical,2119700,,,PubMed,source_partial
topical_ophthalmic_0029,Ofloxacin,Ofloxacin,ofloxacin ophthalmic,antibiotic_fluoroquinolone,DNA_gyrase_inhibitor_topoisomerase_IV_inhibitor,antibiotic|fluoroquinolone|systemic_absorption_low,ophthalmic,ophthalmic,topical,7623,,,DrugBank DB01165|PubMed,source_partial
topical_ophthalmic_0030,Levofloxacin,Levofloxacin,levofloxacin ophthalmic,antibiotic_fluoroquinolone,DNA_gyrase_inhibitor_topoisomerase_IV_inhibitor,antibiotic|fluoroquinolone|systemic_absorption_low,ophthalmic,ophthalmic,topical,82122,,,DrugBank DB01137|PubMed,source_partial
topical_ophthalmic_0031,Moxifloxacin,Moxifloxacin,moxifloxacin ophthalmic,antibiotic_fluoroquinolone,DNA_gyrase_inhibitor_topoisomerase_IV_inhibitor,antibiotic|fluoroquinolone|systemic_absorption_low,ophthalmic,ophthalmic,topical,139462,,,DrugBank DB00218|PubMed,source_partial
topical_ophthalmic_0032,Gatifloxacin,Gatifloxacin,gatifloxacin ophthalmic,antibiotic_fluoroquinolone,DNA_gyrase_inhibitor_topoisomerase_IV_inhibitor,antibiotic|fluoroquinolone|systemic_absorption_low,ophthalmic,ophthalmic,topical,228476,,,DrugBank DB01044|PubMed,source_partial
topical_ophthalmic_0033,Ciprofloxacin,Ciprofloxacin,ciprofloxacin ophthalmic,antibiotic_fluoroquinolone,DNA_gyrase_inhibitor_topoisomerase_IV_inhibitor,antibiotic|fluoroquinolone|systemic_absorption_low,ophthalmic,ophthalmic,topical,2551,,,DrugBank DB00537|PubMed,source_partial
topical_ophthalmic_0034,Besifloxacin,Besifloxacin,besifloxacin ophthalmic,antibiotic_fluoroquinolone,DNA_gyrase_inhibitor_topoisomerase_IV_inhibitor,antibiotic|fluoroquinolone|systemic_absorption_low,ophthalmic,ophthalmic,topical,819911,,,DrugBank DB06771|PubMed,source_partial
topical_ophthalmic_0035,Tobramycin,Tobramycin,tobramycin ophthalmic,antibiotic_aminoglycoside,30S_ribosomal_inhibitor,aminoglycoside|antibiotic|systemic_absorption_low,ophthalmic,ophthalmic,topical,10627,,,DrugBank DB00684|PubMed,source_partial
topical_ophthalmic_0036,Gentamicin,Gentamicin,gentamicin sulfate ophthalmic,antibiotic_aminoglycoside,30S_ribosomal_inhibitor,aminoglycoside|antibiotic|systemic_absorption_low,ophthalmic,ophthalmic,topical,1596450,,,DrugBank DB00798|PubMed,source_partial
topical_ophthalmic_0037,Neomycin,Neomycin,neomycin sulfate ophthalmic,antibiotic_aminoglycoside,30S_ribosomal_inhibitor,aminoglycoside|antibiotic|systemic_absorption_low,ophthalmic,ophthalmic,topical,7299,,,DrugBank DB00994|PubMed,source_partial
topical_ophthalmic_0038,Erythromycin,Erythromycin,erythromycin ophthalmic,antibiotic_macrolide,50S_ribosomal_inhibitor,antibiotic|macrolide|systemic_absorption_low,ophthalmic,ophthalmic,topical,4053,,,DrugBank DB00199|PubMed,source_partial
topical_ophthalmic_0039,Azithromycin,Azithromycin,azithromycin ophthalmic,antibiotic_macrolide,50S_ribosomal_inhibitor,antibiotic|macrolide|systemic_absorption_low,ophthalmic,ophthalmic,topical,18631,,,DrugBank DB00207|PubMed,source_partial
topical_ophthalmic_0040,Chloramphenicol,Chloramphenicol,chloramphenicol ophthalmic,antibiotic_other,50S_ribosomal_inhibitor,antibiotic|bone_marrow_suppression_risk|systemic_absorption_low,ophthalmic,ophthalmic,topical,2348,,,DrugBank DB00446|PubMed,source_partial
topical_ophthalmic_0041,Fusidic acid,Fusidic acid,fusidic acid ophthalmic,antibiotic_other,protein_synthesis_inhibitor,antibiotic|systemic_absorption_low,ophthalmic,ophthalmic,topical,4608,,,DrugBank DB02703|PubMed,source_partial
topical_ophthalmic_0042,Bacitracin,Bacitracin,bacitracin ophthalmic,antibiotic_polypeptide,cell_wall_synthesis_inhibitor,antibiotic|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,1291,,,DrugBank DB00626|PubMed,source_partial
topical_ophthalmic_0043,Polymyxin B,Polymyxin B,polymyxin B sulfate ophthalmic,antibiotic_polypeptide,cell_membrane_disruptor,antibiotic|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,8536,,,DrugBank DB00781|PubMed,source_partial
topical_ophthalmic_0044,Sulfacetamide,Sulfacetamide,sulfacetamide sodium ophthalmic,antibiotic_sulfonamide,dihydropteroate_synthase_inhibitor,antibiotic|sulfonamide|systemic_absorption_low,ophthalmic,ophthalmic,topical,10169,,,DrugBank DB00634|PubMed,source_partial
topical_ophthalmic_0045,Acyclovir,Acyclovir,acyclovir ophthalmic,antiviral,viral_DNA_polymerase_inhibitor,antiviral|systemic_absorption_low,ophthalmic,ophthalmic,topical,281,,,DrugBank DB00787|PubMed,source_partial
topical_ophthalmic_0046,Ganciclovir,Ganciclovir,ganciclovir ophthalmic gel,antiviral,viral_DNA_polymerase_inhibitor,antiviral|systemic_absorption_low,ophthalmic,ophthalmic,topical,4678,,,DrugBank DB01004|PubMed,source_partial
topical_ophthalmic_0047,Trifluridine,Trifluridine,trifluridine ophthalmic,antiviral,viral_DNA_polymerase_inhibitor,antiviral|systemic_absorption_low,ophthalmic,ophthalmic,topical,10803,,,DrugBank DB00432|PubMed,source_partial
topical_ophthalmic_0048,Natamycin,Natamycin,natamycin ophthalmic,antifungal,polyene_macrolide_fungicide,antifungal|polyene|systemic_absorption_very_low,ophthalmic,ophthalmic,topical,7268,,,DrugBank DB00826|PubMed,source_partial
topical_ophthalmic_0049,Voriconazole,Voriconazole,voriconazole ophthalmic,antifungal,cyp51_inhibitor,antifungal|azole|systemic_absorption_low,ophthalmic,ophthalmic,topical,121243,,,DrugBank DB00582|PubMed,source_partial
topical_ophthalmic_0050,Fluconazole,Fluconazole,fluconazole ophthalmic,antifungal,cyp51_inhibitor,antifungal|azole|systemic_absorption_low,ophthalmic,ophthalmic,topical,4450,,,DrugBank DB00196|PubMed,source_partial
topical_ophthalmic_0051,Prednisolone,Prednisolone,prednisolone acetate ophthalmic,corticosteroid,glucocorticoid_receptor_agonist,corticosteroid|iop_elevation_risk|systemic_absorption_medium,ophthalmic,ophthalmic,topical,8638,,,DrugBank DB00860|PubMed,source_partial
topical_ophthalmic_0052,Dexamethasone,Dexamethasone,dexamethasone ophthalmic,corticosteroid,glucocorticoid_receptor_agonist,corticosteroid|iop_elevation_risk|systemic_absorption_high,ophthalmic,ophthalmic,topical,3264,,,DrugBank DB01234|PubMed,source_partial
topical_ophthalmic_0053,Fluorometholone,Fluorometholone,fluorometholone ophthalmic,corticosteroid,glucocorticoid_receptor_agonist,corticosteroid|iop_elevation_risk|systemic_absorption_medium,ophthalmic,ophthalmic,topical,4491,,,DrugBank DB00324|PubMed,source_partial
topical_ophthalmic_0054,Loteprednol,Loteprednol,loteprednol etabonate ophthalmic,corticosteroid,glucocorticoid_receptor_agonist,corticosteroid|iop_elevation_lower_risk|site_activated|systemic_absorption_low,ophthalmic,ophthalmic,topical,237027,,,DrugBank DB01173|PubMed,source_partial
topical_ophthalmic_0055,Rimexolone,Rimexolone,rimexolone ophthalmic,corticosteroid,glucocorticoid_receptor_agonist,corticosteroid|iop_elevation_risk|systemic_absorption_medium,ophthalmic,ophthalmic,topical,55681,,,DrugBank DB00896|PubMed,source_partial
topical_ophthalmic_0056,Ketorolac,Ketorolac,ketorolac tromethamine ophthalmic,nsaid_ophthalmic,cox1_cox2_inhibitor,cox_inhibitor|nsaid|systemic_absorption_low,ophthalmic,ophthalmic,topical,35827,,,DrugBank DB00465|PubMed,source_partial
topical_ophthalmic_0057,Flurbiprofen,Flurbiprofen,flurbiprofen sodium ophthalmic,nsaid_ophthalmic,cox_inhibitor,cox_inhibitor|nsaid|systemic_absorption_high,ophthalmic,ophthalmic,topical,4502,,,DrugBank DB00712|PubMed,source_partial
topical_ophthalmic_0058,Diclofenac,Diclofenac,diclofenac sodium ophthalmic,nsaid_ophthalmic,cox1_cox2_inhibitor,cox_inhibitor|nsaid|systemic_absorption_low,ophthalmic,ophthalmic,topical,3355,,,DrugBank DB00586|PubMed,source_partial
topical_ophthalmic_0059,Bromfenac,Bromfenac,bromfenac sodium ophthalmic,nsaid_ophthalmic,cox_inhibitor,cox_inhibitor|nsaid|systemic_absorption_low,ophthalmic,ophthalmic,topical,19737,,,DrugBank DB00963|PubMed,source_partial
topical_ophthalmic_0060,Nepafenac,Nepafenac,nepafenac ophthalmic,nsaid_ophthalmic,cox_inhibitor_prodrug,cox_inhibitor|nsaid|prodrug|systemic_absorption_low,ophthalmic,ophthalmic,topical,298665,,,DrugBank DB01283|PubMed,source_partial
topical_ophthalmic_0061,Cyclosporine,Cyclosporine,cyclosporine A ophthalmic,immunosuppressant,calcineurin_inhibitor,calcineurin_inhibitor|immunosuppressant|systemic_absorption_very_low|p_gp_substrate,ophthalmic,ophthalmic,topical,3008,,,DrugBank DB00091|PubMed,source_partial
topical_ophthalmic_0062,Tacrolimus,Tacrolimus,tacrolimus ophthalmic,immunosuppressant,calcineurin_inhibitor,calcineurin_inhibitor|immunosuppressant|systemic_absorption_low,ophthalmic,ophthalmic,topical,42316,,,DrugBank DB00800|PubMed,source_partial
topical_ophthalmic_0063,Olopatadine,Olopatadine,olopatadine hydrochloride ophthalmic,antihistamine_dual_action,h1_receptor_antagonist_mast_cell_stabilizer,antihistamine|mast_cell_stabilizer|systemic_absorption_low,ophthalmic,ophthalmic,topical,135391,,,DrugBank DB00768|PubMed,source_partial
topical_ophthalmic_0064,Ketotifen,Ketotifen,ketotifen fumarate ophthalmic,antihistamine_mast_cell_stabilizer,h1_receptor_antagonist_mast_cell_stabilizer,antihistamine|mast_cell_stabilizer|systemic_absorption_low,ophthalmic,ophthalmic,topical,6146,,,DrugBank DB00920|PubMed,source_partial
topical_ophthalmic_0065,Epinastine,Epinastine,epinastine hydrochloride ophthalmic,antihistamine_dual_action,h1_receptor_antagonist_mast_cell_stabilizer,antihistamine|mast_cell_stabilizer|systemic_absorption_low,ophthalmic,ophthalmic,topical,39684,,,DrugBank DB00751|PubMed,source_partial
topical_ophthalmic_0066,Azelastine,Azelastine,azelastine hydrochloride ophthalmic,antihistamine,h1_receptor_antagonist,antihistamine|systemic_absorption_low,ophthalmic,ophthalmic,topical,18603,,,DrugBank DB00972|PubMed,source_partial
topical_ophthalmic_0067,Emedastine,Emedastine,emedastine difumarate ophthalmic,antihistamine,h1_receptor_antagonist,antihistamine|systemic_absorption_low,ophthalmic,ophthalmic,topical,28144,,,DrugBank DB01093|PubMed,source_partial
topical_ophthalmic_0068,Bepotastine,Bepotastine,bepotastine besilate ophthalmic,antihistamine,h1_receptor_antagonist,antihistamine|systemic_absorption_low,ophthalmic,ophthalmic,topical,863035,,,DrugBank DB04935|PubMed,source_partial
topical_ophthalmic_0069,Alcaftadine,Alcaftadine,alcaftadine ophthalmic,antihistamine,h1_receptor_antagonist,antihistamine|systemic_absorption_low,ophthalmic,ophthalmic,topical,1000082,,,DrugBank DB08883|PubMed,source_partial
topical_ophthalmic_0070,Cromolyn sodium,Cromolyn sodium,cromoglycate ophthalmic,mast_cell_stabilizer,mast_cell_stabilizer,mast_cell_stabilizer|systemic_absorption_low,ophthalmic,ophthalmic,topical,3538,,,DrugBank DB00186|PubMed,source_partial
topical_ophthalmic_0071,Nedocromil,Nedocromil,nedocromil sodium ophthalmic,mast_cell_stabilizer,mast_cell_stabilizer,mast_cell_stabilizer|systemic_absorption_low,ophthalmic,ophthalmic,topical,31563,,,DrugBank DB00716|PubMed,source_partial
topical_ophthalmic_0072,Lodoxamide,Lodoxamide,lodoxamide tromethamine ophthalmic,mast_cell_stabilizer,mast_cell_stabilizer,mast_cell_stabilizer|systemic_absorption_low,ophthalmic,ophthalmic,topical,52151,,,DrugBank DB00484|PubMed,source_partial
topical_ophthalmic_0073,Atropine,Atropine,atropine sulfate ophthalmic,mydriatic_cycloplegic,muscarinic_receptor_antagonist,anticholinergic|mydriatic|systemic_absorption_high,ophthalmic,ophthalmic,topical,1223,,,DrugBank DB00572|PubMed,source_partial
