dataset_id,dataset_role,method,sensitivity,sensitivity_low,sensitivity_high,specificity,specificity_low,specificity_high,kappa,kappa_low,kappa_high,accuracy_4level,accuracy_4level_low,accuracy_4level_high
dev-ddinter,development,pure_llm,0.36551724137931035,0.33035158956142907,0.40068289319719164,0.6152046783625731,0.5806274959085509,0.6497818608165953,-0.0031808291963287025,-0.012320115296847733,0.005958456904190328,0.193,0.14776726848840543,0.23823273151159458
dev-ddinter,development,naive_rag,0.993103448275862,0.9793103448275862,1.006896551724138,0.4280701754385965,0.3781189321542395,0.4780214187229535,0.15321240004043532,0.1347105409179263,0.17171425916294433,0.458,0.4329800079936064,0.4830199920063936
dev-ddinter,development,lightrag,0.07586206896551724,0.06206896551724138,0.0896551724137931,0.8994152046783626,0.8839872444932481,0.914843164863477,0.005167795605078057,0.0033641689063735603,0.006971422303782554,0.094,0.08483484861008832,0.10316515138991168
dev-ddinter,development,full_system,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.014563258178189438,0.014563258178189438,0.014563258178189438,0.21,0.21,0.21
external_validation,validation,pure_llm,0.6410256410256411,0.5951575799487223,0.6868937021025598,0.6516129032258065,0.5715504926065106,0.7316753138451023,0.30036350551544033,0.22767087525622764,0.373056135774653,0.6028571428571429,0.5591512613120618,0.6465630244022239
external_validation,validation,naive_rag,0.635897435897436,0.6107744641765829,0.6610204076182891,0.6258064516129033,0.559383031348471,0.6922298718773355,0.28518884387627685,0.23114869641819355,0.3392289913343602,0.6142857142857143,0.5843197471951386,0.6442516813762901
external_validation,validation,lightrag,0.11794871794871795,0.08316753854807554,0.15272989734936035,0.9225806451612902,0.906777485530431,0.9383838047921494,0.1336608310089246,0.11034881653008123,0.15697284548776794,0.47428571428571425,0.4553335726265405,0.493237855944888
external_validation,validation,full_system,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.13167938931297712,0.13167938931297712,0.13167938931297712,0.44285714285714284,0.44285714285714284,0.44285714285714284
blind_l1,validation,pure_llm,0.7714285714285715,0.7428571428571429,0.8,0.5422222222222223,0.4981123705749351,0.5863320738695094,0.25588043555332757,0.2303507400455473,0.28141013106110785,0.4745762711864407,0.4506065497902866,0.4985459925825948
blind_l1,validation,naive_rag,0.7571428571428571,0.7,0.8142857142857143,0.4622222222222222,0.41689760432361966,0.5075468401208247,0.1823685607815054,0.15751546441676562,0.2072216571462452,0.4152542372881356,0.40107355887230384,0.42943491570396736
blind_l1,validation,lightrag,0.7785714285714286,0.7369217721796765,0.8202210849631807,0.9355555555555556,0.9046035816062575,0.9665075295048536,0.6034939942975145,0.5737634087088874,0.6332245798861416,0.7372881355932204,0.7172336278538997,0.7573426433325411
blind_l1,validation,full_system,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.8570169640890064,0.8570169640890064,0.8570169640890064,0.9067796610169492,0.9067796610169492,0.9067796610169492
blind_v3_ddinter,validation,pure_llm,0.848,0.8180667409058084,0.8779332590941915,0.7044776119402985,0.693308485412615,0.7156467384679819,0.39614687099621604,0.3676688999468445,0.4246248420455876,0.6304347826086957,0.6076345902571707,0.6532349749602206
blind_v3_ddinter,validation,naive_rag,0.848,0.7839999999999999,0.912,0.5791044776119403,0.5501631053288577,0.6080458498950229,0.2901909620519011,0.24384902979212802,0.33653289431167416,0.5347826086956522,0.496260771420284,0.5733044459710204
blind_v3_ddinter,validation,lightrag,0.264,0.24440408205773456,0.28359591794226546,0.9492537313432836,0.9290079701996261,0.9694994924869411,0.21993886413854763,0.2100668335799309,0.22981089469716437,0.591304347826087,0.5859793701243845,0.5966293255277895
blind_v3_ddinter,validation,full_system,0.32,0.32,0.32,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.42774206925150315,0.42774206925150315,0.42774206925150315,0.6739130434782609,0.6739130434782609,0.6739130434782609
