rule_id,severity,risk_type,entity_a_flags,entity_b_flags,match
additive_beta_blockade,high,pharmacodynamic_cardiovascular,beta_blocker|systemic_absorption_high,beta_blocker_systemic,all
beta_blocker_ccb_additive,high,pharmacodynamic_cardiovascular,beta_blocker|systemic_absorption_high,l_type_calcium_channel_blocker,all
beta_blocker_digoxin_additive,high,pharmacodynamic_cardiovascular,beta_blocker|systemic_absorption_high,na_k_atpase_inhibitor,all
additive_alpha2_cns_depression,high,pharmacodynamic_cns,alpha2_agonist,cns_depressant,any
additive_anticholinergic_effects,medium,pharmacodynamic_anticholinergic,anticholinergic,anticholinergic_systemic,any
additive_corticosteroid_iop,medium,pharmacodynamic_ocular_hypertension,corticosteroid,corticosteroid_systemic,any
additive_nsaid_bleeding,medium,pharmacodynamic_hemorrhagic,nsaid,anticoagulant,any
sympathomimetic_alpha_interaction,medium,pharmacodynamic_cardiovascular,sympathomimetic,antihypertensive,any
qt_prolongation_risk,low,pharmacodynamic_cardiotoxic,fluoroquinolone,qt_prolonging,any
pga_antiplatelet_bleeding,low,pharmacodynamic_hemorrhagic,prostaglandin_analog,antiplatelet,any
cai_diuretic_metabolic_acidosis,medium,pharmacokinetic_metabolic,cai_topical,diuretic,any
cai_topiramate_acidosis,medium,pharmacokinetic_metabolic,cai_topical,cai_systemic,any
dexamethasone_cyp3a4_induction,medium,pharmacokinetic_cyp3a4,corticosteroid|systemic_absorption_high,cyp3a4_substrate,all
topical_corticosteroid_cyp3a4_induction,low,pharmacokinetic_cyp3a4,corticosteroid,cyp3a4_substrate,any
systemic_absorption_high_risk,low,systemic_absorption,systemic_absorption_high,beta_blocker_systemic,any
systemic_absorption_moderate_risk,low,systemic_absorption,systemic_absorption_medium,narrow_therapeutic_index,any
p_gp_mediated_absorption,low,pharmacokinetic_transporter,p_gp_substrate,p_gp_inhibitor,any
calcineurin_inhibitor_cyp3a4,low,pharmacokinetic_cyp3a4,calcineurin_inhibitor,cyp3a4_inhibitor,any
macrolide_cyp3a4_inhibition,low,pharmacokinetic_cyp3a4,macrolide,cyp3a4_substrate,any
azole_cyp3a4_inhibition,low,pharmacokinetic_cyp3a4,azole,cyp3a4_substrate,any
sympathomimetic_maoi_hypertension,high,pharmacodynamic_cardiovascular,sympathomimetic,maoi,any
beta_blocker_beta2_agonist_antagonism,high,pharmacodynamic_respiratory,beta_blocker,beta2_adrenergic_agonist,any
immunosuppressant_nsaid_nephrotoxicity,medium,pharmacodynamic_renal,calcineurin_inhibitor,cox1_cox2_inhibitor,any
fluoroquinolone_corticosteroid_tendon,low,pharmacodynamic_musculoskeletal,fluoroquinolone,corticosteroid_systemic,any
nsaid_antihypertensive_antagonism,high,pharmacodynamic_cardiovascular,nsaid,antihypertensive,any
nsaid_diuretic_antagonism,medium,pharmacodynamic_cardiovascular,nsaid,ncc_inhibitor|nkcc2_inhibitor,any
antibiotic_warfarin_enhancement,low,pharmacokinetic_anticoagulation,antibiotic,narrow_therapeutic_index|vitamin_k_epoxide_reductase_inhibitor,all
beta_blocker_cyp2d6_metabolism,medium,pharmacokinetic_cyp2d6,beta_blocker,cyp2d6_inhibitor,any
nsaid_acei_arb_antagonism,medium,pharmacodynamic_cardiovascular,nsaid,ace_inhibitor|angiotensin_ii_receptor_antagonist,any
corticosteroid_nti_interaction,medium,pharmacodynamic_endocrine,corticosteroid,narrow_therapeutic_index,any
sympathomimetic_tca_hypertension,high,pharmacodynamic_cardiovascular,sympathomimetic,net_inhibitor,any
anticholinergic_qt_prolongation,medium,pharmacodynamic_cardiotoxic,anticholinergic,qt_prolonging,any
moderate_abs_antiplatelet,low,pharmacodynamic_hemorrhagic,systemic_absorption_medium,antiplatelet,any
moderate_abs_beta_blocker,medium,pharmacodynamic_cardiovascular,systemic_absorption_medium,beta_blocker_systemic,any
moderate_abs_anticoagulant,low,pharmacodynamic_hemorrhagic,systemic_absorption_medium,anticoagulant,any
moderate_abs_cyp2d6,low,pharmacokinetic_cyp2d6,systemic_absorption_medium,cyp2d6_substrate,any
moderate_abs_diuretic,low,pharmacokinetic_metabolic,systemic_absorption_medium,diuretic,any
alpha2_agonist_antiplatelet,low,pharmacodynamic_hemorrhagic,alpha2_agonist,antiplatelet,any
low_abs_antiplatelet,low,pharmacodynamic_hemorrhagic,systemic_absorption_low,antiplatelet,any
low_abs_anticoagulant,low,pharmacodynamic_hemorrhagic,systemic_absorption_low,anticoagulant,any
